x z
-10.090 18.958
-10.852 20.442
-11.615 22.134
-12.359 24.014
-13.061 26.044
-13.691 28.170
-14.221 30.315
-14.621 32.388
-14.866 34.295
-14.934 35.941
-14.814 37.250
-14.504 38.173
-14.015 38.690
-13.367 38.815
-12.586 38.587
-11.706 38.064
-10.761 37.312
-9.783 36.395
-8.802 35.372
-7.843 34.291
-6.926 33.188
-6.064 32.090
-5.267 31.014
-4.540 29.970
-3.884 28.964
-3.299 27.997
-2.782 27.070
-2.329 26.180
-1.934 25.327
-1.592 24.506
-1.298 23.717
-1.046 22.958
-0.831 22.225
-0.648 21.518
-0.492 20.836
-0.360 20.176
-0.247 19.538
-0.150 18.922
-0.068 18.325
0.004 17.748
0.067 17.189
0.123 16.648
0.174 16.125
0.221 15.619
0.266 15.129
0.310 14.654
0.353 14.195
0.397 13.752
0.443 13.323
0.491 12.908
0.543 12.507
0.598 12.120
0.659 11.747
0.726 11.387
0.801 11.041
0.883 10.708
0.974 10.390
1.076 10.085
1.190 9.796
1.318 9.521
1.461 9.264
1.621 9.025
1.801 8.805
2.003 8.608
2.230 8.438
2.485 8.297
2.771 8.191
3.093 8.127
3.453 8.114
3.857 8.161
4.309 8.283
4.814 8.495
5.378 8.816
6.003 9.272
6.695 9.888
7.456 10.698
8.286 11.736
9.184 13.041
10.144 14.646
11.153 16.583
12.193 18.867
13.237 21.490
14.248 24.416
15.183 27.562
15.989 30.805
16.612 33.979
17.001 36.896
17.115 39.371
16.931 41.253
16.445 42.454
15.679 42.959
14.671 42.827
13.476 42.167
12.155 41.115
10.766 39.807
9.362 38.361
7.989 36.870
6.680 35.399
5.456 33.989
4.332 32.660
3.313 31.421
2.401 30.272
1.590 29.207
0.875 28.219
0.247 27.299
-0.304 26.442
-0.787 25.639
-1.212 24.885
-1.588 24.177
-1.923 23.510
-2.226 22.882
-2.504 22.293
-2.764 21.740
-3.011 21.224
-3.251 20.746
-3.489 20.306
-3.729 19.905
-3.975 19.547
-4.231 19.234
-4.499 18.968
-4.783 18.755
-5.086 18.599
-5.408 18.505
-5.753 18.479
-6.121 18.529
-6.513 18.661
-6.931 18.883
-7.372 19.203
-7.837 19.629
-8.321 20.167
-8.823 20.823
-9.335 21.599
-9.852 22.495
-10.365 23.504
-10.862 24.615
-11.333 25.809
-11.763 27.062
-12.139 28.340
-12.446 29.606
-12.671 30.816
-12.803 31.929
-12.833 32.905
-12.758 33.710
-12.577 34.319
-12.294 34.721
-11.919 34.913
-11.463 34.904
-10.942 34.713
-10.371 34.364
-9.769 33.882
-9.150 33.296
-8.530 32.632
-7.923 31.911
-7.337 31.154
-6.784 30.376
-6.267 29.591
-5.793 28.807
-5.363 28.031
-4.979 27.268
-4.641 26.522
-4.347 25.795
-4.097 25.089
-3.888 24.405
-3.719 23.743
-3.587 23.105
-3.490 22.492
-3.427 21.903
-3.394 21.339
-3.392 20.802
-3.419 20.293
-3.473 19.812
-3.554 19.362
-3.662 18.944
-3.796 18.561
-3.957 18.215
-4.145 17.910
-4.361 17.650
-4.605 17.439
-4.878 17.283
-5.182 17.188
-5.517 17.161
-5.883 17.209
-6.282 17.343
-6.714 17.572
-7.177 17.905
-7.671 18.353
-8.194 18.926
-8.740 19.633
-9.306 20.479
-9.884 21.467
-10.463 22.594
-11.032 23.850
-11.578 25.217
-12.083 26.665
-12.531 28.159
-12.903 29.650
-13.183 31.087
-13.356 32.416
-13.409 33.583
-13.337 34.546
-13.139 35.272
-12.819 35.744
-12.387 35.962
-11.860 35.938
-11.256 35.697
-10.594 35.272
-9.897 34.698
-9.183 34.010
-8.471 33.241
-7.775 32.417
-7.109 31.562
-6.481 30.693
-5.899 29.824
-5.366 28.964
-4.885 28.119
-4.456 27.293
-4.078 26.490
-3.750 25.710
-3.468 24.954
-3.232 24.222
-3.036 23.515
-2.879 22.832
-2.758 22.173
-2.669 21.538
-2.611 20.926
-2.582 20.339
-2.580 19.777
-2.603 19.239
-2.650 18.727
-2.722 18.241
-2.816 17.783
-2.934 17.354
-3.076 16.956
-3.242 16.591
-3.433 16.263
-3.650 15.974
-3.895 15.730
-4.169 15.535
-4.473 15.396
-4.810 15.319
-5.181 15.314
-5.588 15.390
-6.032 15.558
-6.515 15.831
-7.035 16.222
-7.594 16.745
-8.189 17.415
-8.815 18.245
-9.468 19.246
-10.139 20.423
-10.816 21.775
-11.486 23.294
-12.129 24.956
-12.725 26.726
-13.252 28.552
-13.685 30.373
-14.002 32.115
-14.184 33.704
-14.214 35.070
-14.087 36.157
-13.801 36.926
-13.367 37.365
-12.800 37.483
-12.123 37.309
-11.362 36.884
-10.544 36.258
-9.695 35.481
-8.841 34.599
-8.002 33.652
-7.195 32.670
-6.432 31.678
-5.724 30.693
-5.074 29.725
-4.486 28.782
-3.960 27.867
-3.494 26.982
-3.086 26.128
-2.731 25.303
-2.427 24.508
-2.169 23.740
-1.952 22.998
-1.772 22.282
-1.626 21.590
-1.510 20.921
-1.421 20.274
-1.355 19.650
-1.311 19.046
-1.287 18.463
-1.281 17.900
-1.291 17.357
-1.316 16.834
-1.357 16.330
-1.412 15.846
-1.481 15.381
-1.566 14.937
-1.665 14.513
-1.780 14.111
-1.912 13.730
-2.062 13.374
-2.231 13.043
-2.422 12.740
-2.635 12.467
-2.874 12.229
-3.141 12.030
-3.439 11.875
-3.769 11.772
-4.137 11.728
-4.544 11.756
-4.995 11.866
-5.492 12.073
-6.038 12.395
-6.636 12.852
-7.286 13.465
-7.989 14.259
-8.742 15.257
-9.540 16.482
-10.374 17.952
-11.231 19.677
-12.092 21.654
-12.933 23.858
-13.724 26.245
-14.429 28.740
-15.013 31.244
-15.438 33.639
-15.672 35.801
-15.691 37.613
-15.484 38.986
-15.053 39.870
-14.415 40.258
-13.600 40.187
-12.644 39.724
-11.590 38.952
-10.480 37.960
-9.353 36.827
-8.241 35.619
-7.171 34.387
-6.162 33.167
-5.226 31.980
-4.370 30.841
-3.598 29.754
-2.907 28.721
-2.295 27.740
-1.757 26.808
-1.285 25.920
-0.874 25.074
-0.515 24.266
-0.203 23.492
0.070 22.750
0.309 22.039
0.521 21.356
0.711 20.699
0.884 20.068
1.043 19.462
1.193 18.881
1.338 18.323
1.481 17.789
1.624 17.280
1.771 16.794
1.924 16.333
2.086 15.898
2.260 15.491
2.447 15.112
2.650 14.763
2.872 14.449
3.115 14.171
3.383 13.935
3.676 13.745
4.000 13.609
4.355 13.532
4.746 13.526
5.175 13.600
5.645 13.767
6.157 14.043
6.714 14.442
7.315 14.984
7.961 15.687
8.648 16.569
9.371 17.648
10.123 18.936
10.891 20.439
11.660 22.152
12.410 24.054
13.115 26.108
13.748 28.256
14.278 30.420
14.677 32.509
14.917 34.425
14.978 36.074
14.848 37.379
14.527 38.291
14.026 38.792
13.365 38.897
12.571 38.648
11.679 38.105
10.723 37.334
9.736 36.401
8.747 35.364
7.782 34.273
6.861 33.162
5.996 32.058
5.197 30.978
4.468 29.932
3.812 28.924
3.228 27.957
2.711 27.030
2.258 26.140
1.863 25.287
1.522 24.468
1.228 23.680
0.976 22.921
0.760 22.190
0.576 21.484
0.419 20.803
0.284 20.144
0.170 19.508
0.070 18.893
-0.016 18.297
-0.091 17.722
-0.159 17.164
-0.220 16.625
-0.276 16.104
-0.330 15.600
-0.382 15.112
-0.434 14.640
-0.487 14.184
-0.542 13.743
-0.599 13.317
-0.661 12.906
-0.728 12.510
-0.800 12.128
-0.880 11.761
-0.968 11.409
-1.065 11.072
-1.174 10.750
-1.294 10.444
-1.429 10.155
-1.580 9.884
-1.749 9.633
-1.937 9.404
-2.149 9.200
-2.386 9.024
-2.652 8.880
-2.950 8.775
-3.284 8.716
-3.657 8.712
-4.075 8.773
-4.542 8.914
-5.062 9.151
-5.639 9.505
-6.278 10.000
-6.983 10.664
-7.754 11.529
-8.591 12.628
-9.491 13.997
-10.445 15.667
-11.441 17.661
-12.456 19.987
-13.462 22.627
-14.422 25.530
-15.290 28.606
-16.016 31.724
-16.550 34.718
-16.845 37.409
-16.867 39.632
-16.600 41.260
-16.049 42.229
-15.238 42.547
-14.209 42.282
-13.015 41.543
-11.715 40.461
-10.364 39.160
-9.009 37.744
-7.692 36.297
-6.440 34.874
-5.275 33.510
-4.208 32.222
-3.242 31.017
-2.378 29.895
-1.612 28.850
-0.936 27.877
-0.342 26.966
0.178 26.113
0.634 25.311
1.035 24.556
1.391 23.842
1.708 23.169
1.995 22.532
2.258 21.931
2.505 21.365
2.740 20.834
2.969 20.339
3.196 19.880
3.426 19.458
3.662 19.076
3.908 18.736
4.168 18.442
4.444 18.197
4.738 18.006
5.053 17.874
5.392 17.807
5.756 17.813
6.146 17.899
6.563 18.073
7.008 18.345
7.480 18.723
7.976 19.217
8.495 19.833
9.031 20.579
9.580 21.456
10.131 22.463
10.676 23.593
11.203 24.831
11.696 26.155
12.142 27.533
12.523 28.927
12.824 30.290
13.031 31.576
13.131 32.734
13.118 33.723
12.988 34.509
12.743 35.068
12.389 35.394
11.940 35.490
11.410 35.375
10.816 35.071
10.179 34.611
9.516 34.024
8.846 33.342
8.182 32.592
7.539 31.798
6.927 30.978
6.353 30.148
5.823 29.319
5.341 28.498
4.907 27.691
4.523 26.903
4.186 26.135
3.896 25.389
3.650 24.666
3.446 23.967
3.282 23.291
3.154 22.639
3.061 22.011
3.000 21.408
2.969 20.830
2.966 20.277
2.991 19.750
3.042 19.251
3.119 18.780
3.220 18.339
3.347 17.929
3.499 17.554
3.677 17.216
3.882 16.919
4.114 16.666
4.375 16.463
4.666 16.315
4.988 16.230
5.343 16.214
5.732 16.278
6.156 16.430
6.615 16.683
7.109 17.047
7.638 17.536
8.199 18.162
8.787 18.934
9.399 19.862
10.025 20.949
10.654 22.194
11.275 23.586
11.870 25.104
12.421 26.716
12.909 28.379
13.311 30.037
13.609 31.628
13.785 33.088
13.826 34.356
13.725 35.382
13.482 36.131
13.103 36.587
12.603 36.755
11.998 36.655
11.313 36.320
10.571 35.792
9.796 35.113
9.009 34.324
8.231 33.460
7.477 32.552
6.760 31.623
6.090 30.691
5.473 29.767
4.911 28.861
4.407 27.977
3.958 27.118
3.565 26.285
3.224 25.479
2.931 24.699
2.684 23.946
2.478 23.218
2.311 22.515
2.178 21.836
2.077 21.181
2.004 20.548
1.958 19.938
1.937 19.351
1.938 18.786
1.960 18.243
2.003 17.724
2.066 17.227
2.148 16.754
2.250 16.305
2.371 15.882
2.514 15.487
2.678 15.120
2.864 14.786
3.075 14.486
3.312 14.224
3.576 14.006
3.871 13.837
4.198 13.723
4.560 13.673
4.959 13.697
5.398 13.806
5.879 14.014
6.403 14.335
6.972 14.786
7.585 15.386
8.242 16.152
8.937 17.103
9.665 18.253
10.417 19.613
11.179 21.184
